SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
19.1,0.380693494,10.4,4521,3.91,10.8,1721.115286,1.488511561,4.111489733,3.959212336,47018.4,40.664,112.32,17677.11,48826.8,42.228,6.9,0.838849091,47.61,2.626785107,0.144927536,1.931521412,328.509,1.903778262,0.021003991,-2.786596362,0.358860728,0.128781022,0.599049855,-0.419424545
20.2,0.447213595,10,4619,3.73,10.7,2065.679598,1.668106711,4.785185472,4.472135955,46190,37.3,107,17228.87,49423.3,39.911,5,0.698970004,25,2.236067977,0.2,1.609437912,125,1.709975947,0.04,-2.321928095,0.430676558,0.185482298,0.65625952,-0.349485002
21,0.608580619,9.1,4611,5.64,10.9,2806.165236,3.432394694,6.633528752,5.538083637,41960.1,51.324,99.19,26006.04,50259.9,61.476,2.7,0.431363764,7.29,1.643167673,0.37037037,0.993251773,19.683,1.39247665,0.137174211,-1.432959407,0.697856474,0.487003659,0.835378043,-0.215681882
10.3,0.337099931,8.6,3399,3.24,10.7,1145.802666,1.092203777,3.606969264,2.899059409,29231.4,27.864,92.02,11012.76,36369.3,34.668,8.8,0.944482672,77.44,2.966479395,0.113636364,2.174751721,681.472,2.064560231,0.012913223,-3.137503524,0.318724742,0.101585461,0.56455712,-0.472241336
10.2,0.347105067,8.3,3252.05,4.16,10.7,1128.803034,1.44395708,3.71402422,2.880972058,26992.015,34.528,88.81,13528.528,34796.935,44.512,8.3,0.919078092,68.89,2.880972058,0.120481928,2.116255515,571.787,2.024693852,0.014515895,-3.053111336,0.327534731,0.107279,0.572306501,-0.459539046
9.2,0.358057437,7.9,2806,3.38,10.7,1004.709168,1.210234137,3.831214576,2.828653752,22167.4,26.702,84.53,9484.28,30024.2,36.166,7.8,0.892094603,60.84,2.792848009,0.128205128,2.054123734,474.552,1.983192483,0.016436555,-2.963474124,0.337441786,0.113866959,0.580897397,-0.446047301
10.7,0.418853908,7.1,2585,3.46,11,1082.737353,1.449234523,4.607392991,2.973862749,18353.5,24.566,78.1,8944.1,28435,38.06,5.7,0.755874856,32.49,2.387467277,0.175438596,1.740466175,185.193,1.786315988,0.030778701,-2.510961919,0.39825375,0.158606049,0.63107349,-0.377937428
11.1,0.442807443,6.7,2843.45,3.59,11.2,1259.100823,1.58967872,4.959443359,2.966809867,19051.115,24.053,75.04,10207.9855,31846.64,40.208,5.1,0.707570176,26.01,2.258317958,0.196078431,1.62924054,132.651,1.721300621,0.038446751,-2.350497247,0.425441894,0.181000805,0.652259069,-0.353785088
11.6,0.370116605,11.4,4170,3.74,12.1,1543.386243,1.384236103,4.478410922,4.219329298,47538,42.636,137.94,15595.8,50457,45.254,7.3,0.86332286,53.29,2.701851217,0.136986301,1.987874348,389.017,1.939877415,0.018765247,-2.867896464,0.348687623,0.121583058,0.590497775,-0.43166143
13.2,0.386333705,10.7,4042,4.12,12.6,1561.560834,1.591694863,4.867804679,4.13377064,43249.4,44.084,134.82,16653.04,50929.2,51.912,6.7,0.826074803,44.89,2.588435821,0.149253731,1.902107526,300.763,1.885203631,0.022276676,-2.744161096,0.364410093,0.132794716,0.603663891,-0.413037401
