SuiRate,Unemp,Vet,Arrest,Mental,Disable,Uninsured,Poverty,uxa,uxm,uxd,uxv,uxu,vxa,vxm,vxd,vxu,axm,axd,axu,mxd,mxu,dxu,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp14
18.8,0.577350269,9.8,5979.1,4.12,12.2,8.7,13.3,3452.034995,2.378683109,7.043673284,5.658032638,5.022947342,58595.18,40.376,119.56,85.26,24633.892,72945.02,52018.17,50.264,35.844,106.14,3,0.477121255,9,1.732050808,0.333333333,1.098612289,27,1.44224957,0.111111111,-1.584962501,0.630929754,0.398072354,0.794310867,-0.238560627
22,0.559016994,9.4,8718,4.6,11.6,9.1,11.5,4873.510157,2.571478174,6.484597135,5.254759747,5.087054649,81949.2,43.24,109.04,85.54,40102.8,101128.8,79333.8,53.36,41.86,105.56,3.2,0.505149978,10.24,1.788854382,0.3125,1.16315081,32.768,1.473612599,0.09765625,-1.678071905,0.59592202,0.355123054,0.771959857,-0.252574989
14.9,0.329690237,10.5,6354,4.25,15.3,14.6,17.7,2094.851764,1.401183506,5.044260621,3.461747485,4.813477456,66717,44.625,160.65,153.3,27004.5,97216.2,92768.4,65.025,62.05,223.38,9.2,0.963787827,84.64,3.033150178,0.108695652,2.219203484,778.688,2.095379106,0.011814745,-3.201633861,0.312340525,0.097556603,0.558874337,-0.481893914
15.1,0.358057437,10.2,6077.15,5.19,15.1,13.9,18.3,2175.968753,1.858318098,5.406667299,3.652185858,4.976998375,61986.93,52.938,154.02,141.78,31540.4085,91764.965,84472.385,78.369,72.141,209.89,7.8,0.892094603,60.84,2.792848009,0.128205128,2.054123734,474.552,1.983192483,0.016436555,-2.963474124,0.337441786,0.113866959,0.580897397,-0.446047301
15.8,0.358057437,9.9,5799,4.59,15.4,13.9,17.9,2076.375077,1.643483636,5.51408453,3.544768626,4.976998375,57410.1,45.441,152.46,137.61,26617.41,89304.6,80606.1,70.686,63.801,214.06,7.8,0.892094603,60.84,2.792848009,0.128205128,2.054123734,474.552,1.983192483,0.016436555,-2.963474124,0.337441786,0.113866959,0.580897397,-0.446047301
15.2,0.389249472,9.5,5598,4.72,15.7,12,17.8,2179.018545,1.837257508,6.111216712,3.697869985,4.670993665,53181,44.84,149.15,114,26422.56,87888.6,67176,74.104,56.64,188.4,6.6,0.819543936,43.56,2.569046516,0.151515152,1.887069649,287.496,1.875777455,0.022956841,-2.722466024,0.367314042,0.134919606,0.606064388,-0.409771968
16.2,0.422577127,9.3,5288,4.36,15.5,10.3,16.7,2234.58785,1.842436275,6.549945474,3.929967284,4.352544412,49178.4,40.548,144.15,95.79,23055.68,81964,54466.4,67.58,44.908,159.65,5.6,0.748188027,31.36,2.366431913,0.178571429,1.722766598,175.616,1.775808003,0.031887755,-2.485426827,0.40234538,0.161881804,0.634307007,-0.374094014
16.7,0.461265604,9,5256.68,4.98,15.5,9,15.8,2424.725675,2.297102708,7.149616862,4.151390436,4.151390436,47310.12,44.82,139.5,81,26178.2664,81478.54,47310.12,77.19,44.82,139.5,4.7,0.672097858,22.09,2.167948339,0.212765957,1.547562509,103.823,1.675068684,0.045269353,-2.232660757,0.44789608,0.200610898,0.669250386,-0.336048929
17.4,0.512989176,8.7,5394,4.91,15.4,9.5,10.6,2767.063616,2.518776854,7.900033311,4.463005832,4.873397172,46927.8,42.717,133.98,82.65,26484.54,83067.6,51243,75.614,46.645,146.3,3.8,0.579783597,14.44,1.949358869,0.263157895,1.335001067,54.872,1.560490751,0.069252078,-1.925999419,0.519210956,0.269580017,0.720562944,-0.289891798
11.2,0.355784033,9,4288,3.68,11.5,23,17.9,1525.601936,1.309285243,4.091516385,3.202056301,8.18303277,38592,33.12,103.5,207,15779.84,49312,98624,42.32,84.64,264.5,7.9,0.897627091,62.41,2.810693865,0.126582278,2.066862759,493.039,1.991631701,0.016023073,-2.981852653,0.335361977,0.112467655,0.579104461,-0.448813546
